WORD,HINT
TARTE,French fruit tart style dessert
APPLE,Common fruit used in desserts
PEARS,Juicy fruit often poached or baked
GUAVA,Tropical fruit with sweet flesh
OLIVE,Fruit pressed into cooking oil
SALTS,Crystals used to season food
CURRY,Spiced dish or sauce
SOUPS,Liquid dishes served hot or cold
BEERS,Fermented barley beverages
GRANA,Hard cheese style for grating
CHIVE,Mild onion-like herb for garnish
MOCHI,Rice cake sweet with chewy texture
MEATS,Animal flesh used as food
CREPE,Thin pancake folded around fillings
DASHI,Japanese broth from kelp and fish
COLAS,Caramel-flavored soft drinks
BASIL,Herb used in Italian cooking
SCROD,Young cod or haddock used as food
CUMIN,Earthy spice used in curries
RAMEN,Japanese noodle soup
PASTY,Baked pastry filled with meat or veg
CHEES,Milk product that melts or crumbles
CLOVE,Aromatic bud used whole or ground
TACOS,Folded tortillas filled with toppings
ELOTE,Grilled corn served with toppings
CAPON,Castrated male chicken for roasting
GARUM,Ancient fish sauce used for flavor
VODKA,Clear distilled spirit
GUMBO,Stew thickened with okra or roux
HONEY,Thick sweetener made by bees
SHAKE,Sweet milk-based blended drink
YOLKS,Egg centers used to enrich dishes
PEELS,Skins removed from fruits
WHEAT,Cereal grain ground into flour
BENTO,Japanese packed meal in a box
RAITA,Yogurt side with spice and herbs
BAGEL,Ring-shaped chewy bread
SAUCE,Thick liquid served with dishes
DONUT,Fried ring-shaped sweet dough
TUNAS,Saltwater fish used in cans or steaks
ANISE,Licorice-scented seed for sweets
CRISP,Thin fried snack or baked apple dish
FUDGE,Dense sweet made with sugar and fat
ROTIS,Whole wheat flatbreads
COCOA,Hot drink made from cacao
SODAS,Sweet carbonated soft drinks
MANGO,Tropical fruit eaten ripe or pickled
SMORE,Campfire sweet of cracker chocolate
SAUTE,Fry quickly in a little fat
SUGAR,Sweet crystals from cane or beet
STEAM,Cook in vapor over boiling water
SALMI,Stew of game in wine sauce
CRUST,Baked outer layer of bread or pie
TOAST,Bread browned by heat
PORTS,Fortified wines aged in barrels
CANDY,Sugary confection in small pieces
BREAD,Baked staple loaf or slices
RICED,Grains chopped to small pieces
BRATS,German sausages grilled or fried
STEAK,Thick cut of meat cooked hot
SHORT,Style of pastry crumbly with fat
MAIZE,Corn grain eaten fresh or ground
TOFUS,Soybean curd used as protein
MELON,Sweet summer fruit with rind
LEMON,Citrus fruit used for zest and juice
PECAN,Edible nut used in pies
WAFER,Thin crisp sweet biscuit
ALBUM,Egg white protein used in baking
ONION,Bulb that flavors many dishes
CONCH,Edible sea snail used in chowder
NACHO,Tortilla chips topped with cheese
MILKS,Varieties of milk for drinking
JUICE,Extracted liquid from fruit or veg
GHEES,Clarified butter used in cooking
CIDER,Fermented apple beverage
LOAFS,Breads baked as singular pieces
SUSHI,Rice and fish rolled or pressed
AIOLI,Garlic mayonnaise style sauce
SYRUP,Thick sweet liquid poured on foods
WINES,Fermented grape beverages
MACAR,Italian pasta type
CHARD,Leafy green with colorful stems
NOPAL,Edible cactus pads in salads
FRANK,Sausage served in a bun
SEEDS,Plant parts used for oil or snacks
CAKES,Baked dessert made with batter
ROLLS,Individual small breads
GARAM,Indian spice blend term for heat
UMAMI,Savory taste sensation in foods
SPICE,Aromatic seeds or powders
MINTS,Herb leaves used fresh or dried
GRAPE,Small fruit eaten fresh or dried
CHAIS,Spiced tea with milk
SOYAS,Soy products used in cooking
TAROS,Starchy root used in cooking
FARRO,Ancient wheat used as a grain
FETAS,Greek brined cheeses crumbled over salads
SALSA,Chunky sauce with tomatoes and chili
SCONE,Lightly sweet biscuit served with tea
CURDS,Milk solids separated by acid
KOBEE,Cabbage salad from Middle East
LOTUS,Edible root from a water plant
BAKED,Cooked with dry oven heat
LATTE,Espresso with steamed milk
TORTA,Cake or sandwich depending region
SALAD,Mixed greens with dressing
BACON,Cured pork belly slices
PESTO,"Basil, garlic, nuts, and oil sauce"
GRAVY,Meat-dripping sauce served hot
HERBS,Leaves used for flavoring
BISON,Lean red meat from a large bovine
STOCK,Flavorful liquid extracted from bones
NAANS,Leavened flatbreads from tandoor
KALES,Leafy greens used in salads
BERRY,Small fruit with sweet-tart flavor
BEETS,Root vegetables often roasted
MOCHA,Coffee with chocolate flavor
CREAM,High-fat portion of milk
DOUGH,Unbaked bread or pastry mixture
TROUT,Freshwater fish used in meals
BROTH,Clear soup base made by simmering
SQUAB,Young pigeon used in cooking
DATES,Sweet dried fruits from palms
POBOY,Sandwich on long loaf
PEACH,Juicy stone fruit with fuzzy skin
PRUNE,Dried plum used in baking
YEAST,Leavening fungus for breads
DAIRY,Milk-based foods collectively
BUNDT,Ring-shaped cake baked in pan
ICING,Sweet coating spread on cakes
THYME,Herb used in roasts and stews
LOINS,Cuts of meat from the back
CAPER,Pickled flower bud used as garnish
PRAWN,Shellfish used in many dishes
FRIES,Potatoes cut and fried
JERKY,Dried seasoned meat cut into strips
NATTO,Fermented soybeans eaten sticky
FLOUR,Powder ground from grains
PIZZA,Flatbread with cheese and sauce
OKRAS,Green pods cooked as a vegetable
ROAST,Dry-heat cooking method for meat
PITAS,Flatbreads with pockets
PASTA,Noodles made from durum wheat
DILLS,Herb used for pickles
CORNS,Grains eaten as kernels or flour
UDONS,Thick wheat noodles in broth
PIPER,Pepper family plant used in spice
CHILI,Spicy pepper or powder
TARTS,Small pastry shells with fillings
